,datetime,cars
246,2021 12 13 22 29 56,7.0
247,2021 12 13 22 40 01,13.0
248,2021 12 13 22 49 56,62.0
249,2021 12 13 23 00 01,31.0
250,2021 12 13 23 10 01,1.0
251,2021 12 13 23 20 01,10.0
252,2021 12 13 23 30 01,9.0
253,2021 12 13 23 40 01,3.0
254,2021 12 13 23 50 01,3.0
255,2021 12 14 00 00 01,15.0
256,2021 12 14 00 10 01,18.0
257,2021 12 14 00 20 01,13.0
258,2021 12 14 00 30 01,29.0
259,2021 12 14 00 40 01,0.0
260,2021 12 14 00 50 01,0.0
261,2021 12 14 00 59 56,0.0
262,2021 12 14 01 10 01,0.0
263,2021 12 14 01 20 01,0.0
264,2021 12 14 01 30 01,0.0
265,2021 12 14 01 40 01,0.0
266,2021 12 14 01 50 01,0.0
267,2021 12 14 01 59 56,0.0
268,2021 12 14 02 10 01,0.0
269,2021 12 14 02 20 01,0.0
270,2021 12 14 02 30 01,0.0
271,2021 12 14 02 39 56,0.0
272,2021 12 14 02 50 01,0.0
273,2021 12 14 03 00 01,0.0
274,2021 12 14 03 10 01,0.0
275,2021 12 14 03 20 01,0.0
276,2021 12 14 03 30 01,0.0
277,2021 12 14 03 39 56,43.0
278,2021 12 14 03 50 01,72.0
279,2021 12 14 03 59 56,68.0
280,2021 12 14 04 10 01,84.0
281,2021 12 14 04 20 01,93.0
282,2021 12 14 04 30 01,145.0
283,2021 12 14 04 40 01,144.0
284,2021 12 14 04 50 01,152.0
285,2021 12 14 05 00 01,190.0
286,2021 12 14 05 10 01,277.0
287,2021 12 14 05 20 01,384.0
288,2021 12 14 05 30 01,451.0
289,2021 12 14 05 40 01,490.0
290,2021 12 14 05 49 56,620.0
291,2021 12 14 06 00 01,671.0
292,2021 12 14 06 10 01,761.0
293,2021 12 14 06 20 01,987.0
294,2021 12 14 06 30 01,1318.0
295,2021 12 14 06 40 01,457.0
296,2021 12 14 06 49 56,75.0
297,2021 12 14 07 00 01,142.0
298,2021 12 14 07 09 56,169.0
299,2021 12 14 07 20 01,129.0
300,2021 12 14 07 30 01,174.0
301,2021 12 14 07 40 01,281.0
302,2021 12 14 07 50 01,472.0
303,2021 12 14 08 00 01,783.0
304,2021 12 14 08 10 01,1041.0
305,2021 12 14 08 19 56,835.0
306,2021 12 14 08 30 01,746.0
307,2021 12 14 08 39 56,490.0
308,2021 12 14 08 50 01,356.0
309,2021 12 14 08 59 56,399.0
310,2021 12 14 09 10 01,325.0
311,2021 12 14 09 20 01,334.0
312,2021 12 14 09 30 01,374.0
313,2021 12 14 09 40 01,1175.0
314,2021 12 14 09 49 56,1679.0
315,2021 12 14 10 00 01,1613.0
316,2021 12 14 10 10 01,1474.0
317,2021 12 14 10 20 01,1495.0
318,2021 12 14 10 30 01,1463.0
319,2021 12 14 10 40 01,1465.0
320,2021 12 14 10 50 01,1318.0
321,2021 12 14 11 00 01,1318.0
322,2021 12 14 11 10 01,1369.0
323,2021 12 14 11 19 56,1321.0
324,2021 12 14 11 30 01,1102.0
